"id";"emo_detail";"manufacture";"serial_number";"type";"power_rate";"power_unit";"voltage";"current_nominal";"frequency";"pole";"rpm";"bearing_de";"bearing_nde";"frame_type";"shaft_diameter";"phase_supply";"cos_phi";"efficiency";"ip_rating";"insulation_class";"duty";"connection_type";"nipple_grease";"greasing_type";"greasing_qty_de";"greasing_qty_nde";"length";"width";"height";"weight";"cooling_fan";"mounting"
"836";"EMO000576";"ABB";;"MBT";"15";"kW";"380";"30";"50";"4";"1470";"--";"--";"160L";"42";"3";;;"55";"F";;"Delta";"Not Available";;"0";"0";"254";"254";"160";"0";"Internal";"Horizontal"
"837";"EMO000349";"ABB";;"MBT";"45";"kW";"380";"88";"50";"4";"1475";;;"225M";"60";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"286";"356";"225";"0";"Internal";"Horizontal"
"838";"EMO000407";"TECO";"75B23000";"AEEBKB";"30";"kW";"380";"57";"50";"4";"1480";"6312";"6212";"200LA";"55";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"305";"318";"200";"0";"Internal";"Horizontal"
"839";"EMO000436";"EBER HARD BAUER";"1895530";"SG335";"0.11";"kW";"380";"0.55";"50";"4";"1390";;;;"0";"3";;;;"F";;;"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Vertical"
"840";"EMO000435";"ABB";"3219691";"HXR";"75";"kW";"380";"144";"50";"6";"988";"6316";"6315";"280M";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"280";"0";"Internal";"Horizontal"
"841";"EMO000438";"ABB";"3219690";"HXR";"75";"kW";"380";"144";"50";"6";"988";"6316";"6315";"280M";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"280";"0";"Internal";"Horizontal"
"842";"EMO002909";"TECO";"P9624252";"AEBB";"55";"kW";"380";"108";"50";"6";"970";"NU318";"6316";"280SC";"80";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"368";"457";"280";"0";"Internal";"Horizontal"
"843";"EMO000443";"TECO";"K9500353-200";"AEEBAC";"3.7";"kW";"380";"8.41";"50";"4";"1440";"6306";"6306";"112";"28";"3";;;"55";"F";;"Start";"Not Available";;"0";"0";"140";"190";"112";"0";"Internal";"Horizontal"
"844";"EMO000445";"ABB";"3180225";"HXR";"55";"kW";"380";"112";"50";"8";"740";"6319";"6316";"315";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"845";"EMO000446";"ABB";"3180262";"HXR";"37";"kW";"380";"71";"50";"6";"984";"6315";"6313";"250";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"846";"EMO000447";"Rotorni";;"XC";"30";"kW";"380";"57";"50";"4";"1465";;;"200L";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Vertical"
"847";"EMO000382";"ABB";;"M2AA";"37";"kW";"380";"71";"50";"4";"1470";"6313";"6313";"225";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"848";"EMO000452";"TECO";"7504760021";"AEEBKB";"75";"kW";"380";"140";"50";"4";"1475";"6316";"6213";;"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"849";"EMO000453";"ABB";"36B4182500";"M2BA";"22";"kW";"380";"42";"50";"4";"1470";"6310";"6310";"180L";"0";"3";"0.87";;"55";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"850";"EMO000454";"LEROY SOMER";"16003743";"LS";"18.5";"kW";"380";"37";"50";"4";"1445";"6310";"6210";"180";"0";"3";;;"55";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"851";"EMO000455";"TECO";"9K60029";"AEEBKB";"15";"kW";"380";"31.9";"50";"6";"960";"6311";"6310";"180L";"0";"3";;;"50";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"852";"EMO000456";"Huada";"597205011";"Y2";"37";"kW";"380";"69.9";"50";"4";"1475";"--";"--";"225S";"0";"3";"0.87";;"50";"F";;"Delta";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"853";"EMO000458";"ABB";"MK171008-AD";"MBT";"30";"kW";"380";"61";"50";"4";"1475";;;"200L";"0";"3";;;"55";"F";;"Delta";;;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"854";"EMO000459";"ABB";"00 405";"MBT";"15";"kW";"380";"30";"50";"4";"1450";"6209";"6209";"160L";"42";"3";;;"55";"F";;"Delta";"Not Available";;"0";"0";"254";"254";"160";"0";"Internal";"Horizontal"
"855";"EMO000460";"ABB";;"MBT";"15";"kW";"380";"30";"50";"4";"1470";;;;"0";"3";;;"55";"F";;"Start";"Not Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"856";"EMO003501";"ABB";"3222176";"M2BA";"90";"kW";"380";"169";"50";"6";"989";"6319";"6316";"315SMB";"0";"3";;;"55";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
"857";"EMO000462";"ABB";"00 445";"MBT";"22";"kW";"380";"44";"50";"4";"1470";"6211";"6210";"180L";"48";"3";;;"55";"F";;"Delta";"Not Available";;"0";"0";"241";"279";"180";"0";"Internal";"Horizontal"
"858";"EMO002103";"ABB";"7474416";"MBV 280S";"75";"kW";"380";"145";"50";"4";"1480";;;"280";"0";"3";"0.85";;"54";"F";;"Delta";"Available";;"0";"0";"0";"0";"0";"0";"Internal";"Horizontal"
